Batch Size: 32
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	62.38	71.00
2	77.74	76.50
3	81.83	71.00
4	83.57	79.50
5	83.50	80.75
6	86.68	76.50
7	84.41	82.00
8	86.37	80.75

Batch Size: 64
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	87.13	81.00
2	88.34	81.50
3	88.42	80.50
4	88.95	80.25
5	88.80	81.75
6	88.57	83.25
7	89.10	82.50
8	89.17	82.25

Batch Size: 128
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	90.08	82.50
2	89.70	82.50
3	90.92	82.50
4	90.84	83.25
5	88.95	83.00
6	90.39	83.25
7	90.69	83.50
8	90.99	83.25

Batch Size: 256
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	90.92	83.50
2	91.29	83.75
3	91.14	83.50
4	90.84	83.50
5	91.14	83.50
6	91.14	83.75
7	91.14	83.75
8	90.99	83.75

