Batch Size: 32
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	75.32	82.00
2	81.23	77.50
3	86.75	83.75
4	87.36	85.50
5	86.37	76.50
6	84.41	81.50
7	90.76	82.00
8	89.40	88.25

Batch Size: 64
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	90.92	81.00
2	92.43	84.25
3	93.34	87.25
4	93.57	84.00
5	93.72	86.50
6	94.47	83.25
7	94.17	85.75
8	94.78	86.50

Batch Size: 128
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	95.69	87.00
2	95.99	86.00
3	96.97	86.00
4	96.52	87.00
5	97.27	86.50
6	96.90	85.75
7	97.65	86.25
8	97.73	85.75

Batch Size: 256
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	97.43	87.50
2	98.41	86.25
3	97.80	87.25
4	98.26	87.50
5	98.11	87.75
6	98.33	86.50
7	97.73	88.50
8	99.32	86.75

