Batch Size: 32
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	65.25	71.25
2	82.89	80.50
3	78.50	80.00
4	81.07	75.50
5	75.32	52.25
6	76.53	85.00
7	78.88	84.75
8	86.75	83.00

Batch Size: 64
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	84.56	81.50
2	84.86	66.25
3	86.22	85.25
4	90.31	87.75
5	88.12	86.75
6	90.54	87.00
7	90.39	79.25
8	91.82	81.00

Batch Size: 128
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	92.58	84.25
2	93.04	85.75
3	91.37	86.25
4	93.34	82.50
5	90.84	87.25
6	94.32	89.00
7	93.49	79.75
8	93.26	78.50

Batch Size: 256
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	89.63	88.00
2	92.73	88.25
3	91.98	84.25
4	92.51	88.75
5	93.64	84.25
6	95.53	85.50
7	96.06	85.25
8	95.46	85.75

