Learning Rate: 0.05600000000000001
Epoch   Training Accuracy (%)   Validation Accuracy (%)
1       93.34                   84.25
2       93.00                   87.25
3       93.53                   83.13
4       90.62                   86.00
5       94.97                   83.13
6       93.08                   88.13
7       94.25                   80.75
8       92.13                   70.38
