Learning Rate: 0.023000000000000003
Epoch   Training Accuracy (%)   Validation Accuracy (%)
1       71.54                   81.88
2       82.21                   78.88
3       86.11                   76.75
4       86.83                   82.88
5       88.42                   80.50
6       86.56                   83.38
7       89.33                   85.13
8       88.84                   85.38
