Learning Rate: 0.045000000000000005
Epoch   Training Accuracy (%)   Validation Accuracy (%)
1       92.32                   81.25
2       86.34                   84.38
3       89.18                   84.88
4       91.33                   84.00
5       92.43                   85.00
6       90.46                   85.88
7       91.33                   80.75
8       92.39                   83.75
