Optimizer: Adam
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	48.52	57.50
2	65.10	70.00
3	64.42	80.75
4	84.48	73.00
5	82.74	82.00
6	86.22	76.25
7	86.68	82.00
8	87.59	81.00

Optimizer: RMSprop
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	61.17	50.00
2	71.84	66.00
3	78.35	84.00
4	83.95	71.25
5	79.49	57.75
6	78.27	84.00
7	86.53	81.00
8	84.94	80.75

Optimizer: SGD
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	85.84	84.00
2	87.81	83.75
3	88.49	84.00
4	88.72	83.25
5	88.80	83.25
6	89.02	82.25
7	89.10	82.00
8	88.27	82.00

Optimizer: SGD_momentum
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	88.95	82.00
2	88.64	82.75
3	89.17	83.00
4	88.64	81.25
5	88.19	81.50
6	88.57	81.25
7	88.64	80.75
8	88.27	82.00

