Optimizer: Adam
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	54.20	72.00
2	82.66	80.00
3	84.63	80.25
4	87.21	74.25
5	87.06	71.50
6	82.97	80.00
7	86.53	85.00
8	89.63	83.75

Optimizer: RMSprop
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	57.31	69.25
2	83.12	83.25
3	70.25	72.00
4	71.69	66.00
5	82.21	83.00
6	83.19	81.50
7	86.22	84.00
8	77.67	84.25

Optimizer: SGD
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	88.87	82.25
2	89.10	82.50
3	89.17	81.00
4	88.72	80.25
5	89.25	80.75
6	88.80	80.25
7	88.87	81.25
8	88.87	82.00

Optimizer: SGD_momentum
Epoch	Training Accuracy (%)	Validation Accuracy (%)
1	89.25	80.50
2	89.10	81.75
3	89.25	81.75
4	88.87	80.25
5	88.57	80.50
6	88.95	82.50
7	88.95	79.50
8	88.72	82.00

